description;wnid
television system;n04404412
television antenna;n04404817
tv-antenna;n04404817
television camera;n04404997
tv camera;n04404997
camera;n04404997
television-camera tube;n04405309
television pickup tube;n04405309
television equipment;n04405540
video equipment;n04405540
television monitor;n04405762
tv monitor;n04405762
television receiver;n04405907
television;n04405907
television set;n04405907
tv;n04405907
tv set;n04405907
idiot box;n04405907
boob tube;n04405907
telly;n04405907
goggle box;n04405907
television room;n04406239
tv room;n04406239
television station;n04406350
tv station;n04406350
television transmitter;n04406552
telpher;n04406687
telfer;n04406687
telpherage;n04406817
telferage;n04406817
temazepam;n04407007
restoril;n04407007
tempera;n04407257
poster paint;n04407257
poster color;n04407257
poster colour;n04407257
temple;n04407435
temple;n04407686
temple of apollo;n04407844
oracle of apollo;n04407844
delphic oracle;n04407844
oracle of delphi;n04407844
temple of artemis;n04408174
temple of jerusalem;n04408330
temple of solomon;n04408330
temporary hookup;n04408871
patch;n04408871
tender;n04409011
supply ship;n04409011
tender;n04409128
ship's boat;n04409128
pinnace;n04409128
cutter;n04409128
tender;n04409279
tenement;n04409384
tenement house;n04409384
tennis ball;n04409515
tennis camp;n04409625
tennis court;n04409712
tennis racket;n04409806
tennis racquet;n04409806
tenon;n04409911
tenor drum;n04410086
tom-tom;n04410086
tenoretic;n04410190
tenoroon;n04410365
tenpenny nail;n04410485
tenpin;n04410565
tensimeter;n04410663
tensiometer;n04410760
tensiometer;n04410886
tensiometer;n04411019
ten-spot;n04411142
ten;n04411142
tent;n04411264
collapsible shelter;n04411264
tenter;n04411835
tenterhook;n04411966
tent-fly;n04412097
rainfly;n04412097
fly sheet;n04412097
fly;n04412097
tent flap;n04412097
tent peg;n04412300
tepee;n04412416
tipi;n04412416
teepee;n04412416
terazosin;n04412550
hytrin;n04412550
terbinafine;n04412727
lamisil;n04412727
terminal;n04412901
terminus;n04412901
depot;n04412901
terminal;n04413151
pole;n04413151
terminal;n04413419
terminus;n04413631
terminus;n04413723
terminal figure;n04413723
term;n04413723
terraced house;n04413969
terra cotta;n04414101
terrarium;n04414199
terra sigillata;n04414319
samian ware;n04414319
terry;n04414476
terry cloth;n04414476
terrycloth;n04414476
tesla coil;n04414675
tessella;n04414821
tessera;n04414909
test bed;n04415078
test equipment;n04415257
tester;n04415354
test paper;n04415460
test range;n04415578
test rocket;n04415663
research rocket;n04415663
test instrument vehicle;n04415663
test room;n04415815
testing room;n04415815
test tube;n04415921
testudo;n04416005
tetracaine;n04416201
tetrachlorethylene;n04416338
tetrachloroethylene;n04416338
ethylene tetrachloride;n04416338
carbon dichloride;n04416338
tetracycline;n04416530
achromycin;n04416530
tetrahydrocannabinol;n04416785
thc;n04416785
tetraskelion;n04416901
tetraskele;n04416901
tetrode;n04417086
textile machine;n04417180
textile mill;n04417361
thalidomide;n04417467
thatch;n04417672
thatched roof;n04417672
theater;n04417809
theatre;n04417809
house;n04417809
theater curtain;n04418357
theatre curtain;n04418357
theater light;n04418644
theater stage;n04418818
theatre stage;n04418818
theodolite;n04419073
transit;n04419073
theophylline;n04419315
elixophyllin;n04419315
slo-bid;n04419315
theobid;n04419315
theremin;n04419642
thermal printer;n04419868
thermal reactor;n04420024
thermistor;n04420206
thermal resistor;n04420206
thermobaric bomb;n04420461
fuel-air bomb;n04420461
vacuum bomb;n04420461
volume-detonation bomb;n04420461
aerosol bomb;n04420461
thermocouple;n04420720
thermocouple junction;n04420720
thermoelectric thermometer;n04421083
thermel;n04421083
electric thermometer;n04421083
thermograph;n04421258
thermometrograph;n04421258
thermograph;n04421417
thermohydrometer;n04421582
thermogravimeter;n04421582
thermojunction;n04421740
thermometer;n04421872
thermonuclear reactor;n04422409
fusion reactor;n04422409
thermopile;n04422566
thermos;n04422727
thermos bottle;n04422727
thermos flask;n04422727
thermostat;n04422875
thermoregulator;n04422875
thiabendazole;n04423174
thiazide;n04423288
thigh pad;n04423552
thill;n04423687
thimble;n04423845
thimerosal;n04424003
sodium ethylmercurithiosalicylate;n04424003
merthiolate;n04424003
thing;n04424218
thing;n04424418
thinning shears;n04424692
thioguanine;n04424826
thiopental;n04424936
thiopental sodium;n04424936
thiopentobarbital sodium;n04424936
pentothal;n04424936
thioridazine;n04425262
mellaril;n04425262
thiosulfil;n04425445
thiotepa;n04425544
thiothixene;n04425656
navane;n04425656
third base;n04425804
third;n04425804
third gear;n04425977
third;n04425977
third rail;n04426184
thong;n04426316
thong;n04426427
thoroughfare;n04426618
thread;n04426788
yarn;n04426788
three-centered arch;n04427216
basket-handle arch;n04427216
three-decker;n04427376
three-decker;n04427473
three-dimensional radar;n04427559
3d radar;n04427559
three-piece suit;n04427715
three-quarter binding;n04427857
three-way switch;n04428008
three-point switch;n04428008
thresher;n04428191
thrasher;n04428191
threshing machine;n04428191
threshing floor;n04428382
threshold element;n04428502
threshold gate;n04428502
thriftshop;n04428634
second-hand store;n04428634
throat;n04428763
throat;n04428920
throat protector;n04429038
thrombolytic;n04429169
thrombolytic agent;n04429169
clot buster;n04429169
throne;n04429376
throstle;n04429613
throughput;n04429756
throw;n04429971
throwing stick;n04430158
throwing board;n04430158
spear thrower;n04430158
dart thrower;n04430158
throw pillow;n04430364
thrust bearing;n04430475
thruster;n04430605
thrust stage;n04430738
thumb;n04430896
thumbhole;n04431025
thumbhole;n04431158
thumb index;n04431296
thumbscrew;n04431436
thumbscrew;n04431547
thumbstall;n04431648
thumbtack;n04431745
drawing pin;n04431745
pushpin;n04431745
thunderer;n04431925
thwart;n04432043
cross thwart;n04432043
tiara;n04432203
tick;n04432308
ticker;n04432393
stock ticker;n04432393
ticket window;n04432538
ticking;n04432662
tickler coil;n04432785
tidemark;n04432942
tidy;n04433077
tie;n04433185
tie;n04433377
tie beam;n04433377
tie;n04433585
railroad tie;n04433585
crosstie;n04433585
sleeper;n04433585
tie clip;n04433800
tier;n04433905
tier;n04434059
tie rack;n04434207
tiered seat;n04434285
tie rod;n04434531
tie tack;n04434670
tiepin;n04434670
scarfpin;n04434670
tightrope;n04434780
tights;n04434932
leotards;n04434932
tile;n04435180
tile;n04435378
tile cutter;n04435552
tile roof;n04435653
tiller;n04435759
tilter;n04435870
tilt-top table;n04436012
tip-top table;n04436012
tip table;n04436012
timber;n04436185
timber;n04436329
timber hitch;n04436401
timbrel;n04436542
time-ball;n04436675
time bomb;n04436832
infernal machine;n04436832
time capsule;n04436992
timecard;n04437131
time clock;n04437276
time-delay measuring instrument;n04437380
time-delay measuring system;n04437380
time exposure;n04437552
time-fuse;n04437670
time machine;n04437793
timepiece;n04437953
timekeeper;n04437953
horologe;n04437953
timer;n04438304
timer;n04438507
time-switch;n04438643
timolol;n04438742
blocadren;n04438742
tin;n04438897
tin can;n04439039
tincture;n04439122
tincture of iodine;n04439305
iodine;n04439305
tinderbox;n04439505
tine;n04439585
tinfoil;n04439712
tin foil;n04439712
tin plate;n04439840
tinplate;n04439840
tinsel;n04440059
tinsel;n04440210
tintack;n04440399
tinware;n04440486
tippet;n04440597
tire;n04440749
tyre;n04440749
tire chain;n04440963
snow chain;n04440963
tire iron;n04441093
tire tool;n04441093
tissue plasminogen activator;n04441282
activase;n04441282
titfer;n04441528
tithe barn;n04441662
titrator;n04441790
t-junction;n04441902
t-network;n04442016
tnt;n04442143
trinitrotoluene;n04442143
toaster;n04442312
toaster oven;n04442441
toasting fork;n04442582
toastrack;n04442741
tobacco;n04442831
baccy;n04442831
tobacco pouch;n04443164
tobacco shop;n04443257
tobacconist shop;n04443257
tobacconist;n04443257
toboggan;n04443433
tobramycin;n04443588
nebcin;n04443588
toby;n04443766
toby jug;n04443766
toby fillpot jug;n04443766
tocainide;n04443918
tonocard;n04443918
tocsin;n04444121
warning bell;n04444121
toe;n04444218
toe;n04444345
toe box;n04444522
toecap;n04444749
toehold;n04444953
toga;n04445040
toga virilis;n04445154
toggle;n04445327
toggle bolt;n04445610
toggle joint;n04445782
toggle switch;n04445952
toggle;n04445952
on-off switch;n04445952
on/off switch;n04445952
togs;n04446162
threads;n04446162
duds;n04446162
toilet;n04446276
lavatory;n04446276
lav;n04446276
can;n04446276
john;n04446276
privy;n04446276
bathroom;n04446276
toilet;n04446521
can;n04446521
commode;n04446521
crapper;n04446521
pot;n04446521
potty;n04446521
stool;n04446521
throne;n04446521
toilet bag;n04446844
sponge bag;n04446844
toilet bowl;n04447028
toilet kit;n04447156
travel kit;n04447156
toilet powder;n04447276
bath powder;n04447276
dusting powder;n04447276
toiletry;n04447443
toilet articles;n04447443
toilet seat;n04447861
toilet soap;n04447965
face soap;n04447965
bath soap;n04447965
toilet water;n04448070
eau de toilette;n04448070
tokamak;n04448185
token;n04448361
tolazamide;n04448511
tolinase;n04448511
tolazoline;n04448680
tolbutamide;n04448826
orinase;n04448826
tole;n04449046
tollbooth;n04449290
tolbooth;n04449290
tollhouse;n04449290
toll bridge;n04449449
tollgate;n04449550
tollbar;n04449550
toll line;n04449700
tolmetin sodium;n04449796
tolectin;n04449796
tomahawk;n04449966
hatchet;n04449966
tommy gun;n04450133
thompson submachine gun;n04450133
tomograph;n04450243
tone arm;n04450465
pickup;n04450465
pickup arm;n04450465
toner;n04450640
tongs;n04450749
pair of tongs;n04450749
tongue;n04450994
tongue and groove joint;n04451139
tongue depressor;n04451318
tonic;n04451473
restorative;n04451473
tonometer;n04451636
tool;n04451818
tool bag;n04452528
toolbox;n04452615
tool chest;n04452615
tool cabinet;n04452615
tool case;n04452615
toolshed;n04452757
toolhouse;n04452757
tooth;n04452848
tooth;n04453037
toothbrush;n04453156
toothpaste;n04453298
toothpick;n04453390
tooth powder;n04453557
toothpowder;n04453557
top;n04453666
top;n04453910
cover;n04453910
top;n04454240
whirligig;n04454240
teetotum;n04454240
spinning top;n04454240
top;n04454540
topgallant;n04454654
topgallant mast;n04454654
topgallant;n04454792
topgallant sail;n04454792
topiary;n04454908
topknot;n04455048
top lift;n04455169
topmast;n04455250
top of the line;n04455442
topper;n04455579
topsail;n04455652
topside;n04455835
toque;n04456011
torch;n04456115
tormenter;n04456276
tormentor;n04456276
teaser;n04456276
torpedo;n04456472
torpedo;n04456734
torpedo;n04456964
torpedo;n04457157
torpedo boat;n04457326
torpedo-boat destroyer;n04457474
torpedo tube;n04457638
torque converter;n04457767
torque wrench;n04457910
torsion balance;n04458045
torture chamber;n04458201
torus;n04458299
tore;n04458299
totem;n04458409
totem pole;n04458633
touch screen;n04458843
touchscreen;n04458843
toupee;n04459018
toupe;n04459018
touring car;n04459122
phaeton;n04459122
tourer;n04459122
tourist class;n04459243
third class;n04459243
towel;n04459362
toweling;n04459610
towelling;n04459610
towel rack;n04459773
towel horse;n04459773
towel rail;n04459909
towel bar;n04459909
towel ring;n04460038
tower;n04460130
tower of babel;n04460634
babel;n04460634
tower of london;n04460947
tower of pharos;n04461148
towline;n04461294
towrope;n04461294
towing line;n04461294
towing rope;n04461294
town hall;n04461437
towpath;n04461570
towing path;n04461570
tow truck;n04461696
tow car;n04461696
wrecker;n04461696
toy;n04461879
toy box;n04462011
toy chest;n04462011
toy;n04462102
toyshop;n04462240
toy soldier;n04462318
trace;n04462407
trace detector;n04462576
tracer;n04462707
tracer bullet;n04462707
tracer;n04462835
tracer;n04463017
tracery;n04463141
tracing;n04463273
trace;n04463273
track;n04463510
cart track;n04463510
cartroad;n04463510
track;n04463679
rail;n04463679
rails;n04463679
runway;n04463679
track;n04463983
track;n04464125
track;n04464211
data track;n04464211
track;n04464418
caterpillar track;n04464418
caterpillar tread;n04464418
trackball;n04464615
tracked vehicle;n04464852
tract house;n04465050
tract housing;n04465203
traction engine;n04465358
tractor;n04465501
tractor;n04465666
trading card;n04465795
traffic circle;n04465933
circle;n04465933
rotary;n04465933
roundabout;n04465933
traffic island;n04466169
safety island;n04466169
safety isle;n04466169
safety zone;n04466169
traffic lane;n04466386
trail;n04466613
trail bike;n04466871
dirt bike;n04466871
scrambler;n04466871
trailer;n04467099
house trailer;n04467099
trailer;n04467307
trailer camp;n04467506
trailer park;n04467506
trailer truck;n04467665
tractor trailer;n04467665
trucking rig;n04467665
rig;n04467665
articulated lorry;n04467665
semi;n04467665
trailing edge;n04467899
train;n04468005
railroad train;n04468005
train;n04468476
train set;n04468707
tramcar;n04468847
tram;n04468847
tramline;n04469003
tramway;n04469003
streetcar track;n04469003
trammel;n04469147
trammel;n04469251
trammel net;n04469345
trammel;n04469345
trampoline;n04469514
tramp steamer;n04469684
tramp;n04469684
tramway;n04469813
tram;n04469813
aerial tramway;n04469813
cable tramway;n04469813
ropeway;n04469813
trandolapril;n04470037
mavik;n04470037
tranquilizer;n04470232
tranquillizer;n04470232
tranquilliser;n04470232
antianxiety agent;n04470232
ataractic drug;n04470232
ataractic agent;n04470232
ataractic;n04470232
transcription;n04470605
transdermal patch;n04470741
skin patch;n04470741
transducer;n04470953
transept;n04471148
transformer;n04471315
transistor;n04471632
junction transistor;n04471632
electronic transistor;n04471632
transit instrument;n04471912
transit line;n04472098
transmission;n04472243
transmission system;n04472243
transmission shaft;n04472563
transmitter;n04472726
sender;n04472726
transom;n04472961
traverse;n04472961
transom;n04473108
transom window;n04473108
fanlight;n04473108
transponder;n04473275
transportation system;n04473432
transportation;n04473432
transit;n04473432
transporter;n04473884
transporter;n04474035
car transporter;n04474035
transport ship;n04474187
tranylcypromine;n04474317
trap;n04474466
trap;n04474843
trap;n04474922
trap;n04475032
trap-and-drain auger;n04475195
trap door;n04475309
trapeze;n04475411
trave;n04475496
traverse;n04475496
crossbeam;n04475496
crosspiece;n04475496
travel iron;n04475631
trawl;n04475749
dragnet;n04475749
trawl net;n04475749
trawl;n04475900
trawl line;n04475900
spiller;n04475900
setline;n04475900
trotline;n04475900
trawler;n04476116
dragger;n04476116
tray;n04476259
tray cloth;n04476526
trazodone;n04476633
trazodone hydrochloride;n04476633
desyrel;n04476633
tread;n04476831
tread;n04476972
tread;n04477091
treadmill;n04477219
treadwheel;n04477219
tread-wheel;n04477219
treadmill;n04477387
treasure chest;n04477548
treasure house;n04477638
treasure ship;n04477725
treasury;n04477825
tree house;n04477966
treenail;n04478066
trenail;n04478066
trunnel;n04478066
trefoil;n04478257
trefoil arch;n04478383
trellis;n04478512
treillage;n04478512
trench;n04478657
trench;n04478889
trench coat;n04479046
trencher;n04479155
trench knife;n04479287
trepan;n04479405
trepan;n04479526
trephine;n04479526
trestle;n04479694
trestle;n04479823
trestle bridge;n04479939
trestle table;n04480033
trestlework;n04480141
trews;n04480303
trey;n04480415
three;n04480415
trial balloon;n04480527
triazolam;n04480625
halcion;n04480625
triangle;n04480853
triangle;n04480995
tribromoethanol;n04481144
tribromoethyl alcohol;n04481144
tribune;n04481255
trichlormethiazide;n04481373
naqua;n04481373
triclinium;n04481524
triclinium;n04481642
tricolor;n04481796
tricolour;n04481796
tricolor television tube;n04481946
tricolour television tube;n04481946
tricolor tube;n04481946
tricolour tube;n04481946
tricorn;n04482177
tricorne;n04482177
tricot;n04482297
tricycle;n04482393
trike;n04482393
velocipede;n04482393
tricyclic;n04482543
tricyclic antidepressant;n04482543
tricyclic antidepressant drug;n04482543
trident;n04482975
trigger;n04483073
trigon;n04483210
trimaran;n04483307
trimipramine;n04483399
surmontil;n04483399
trimmer;n04483584
trimmer joist;n04483584
trimmer;n04483779
trimming capacitor;n04483779
trimmer;n04483925
trimmer arch;n04484024
trimming;n04484160
trim;n04484160
passementerie;n04484160
triode;n04484432
triphammer;n04484647
triplicate;n04484780
trip line;n04484952
tripod;n04485082
tripper;n04485226
trip;n04485226
triptych;n04485423
trip wire;n04485586
trireme;n04485750
triskelion;n04485884
triskele;n04485884
triumphal arch;n04486054
trivet;n04486213
trivet;n04486322
triviality;n04486445
trivia;n04486445
trifle;n04486445
small beer;n04486445
troika;n04486616
trojan horse;n04486718
wooden horse;n04486718
troll;n04486934
trolleybus;n04487081
trolley coach;n04487081
trackless trolley;n04487081
trolley line;n04487268
trombone;n04487394
trompe l'oeil;n04487576
troop carrier;n04487724
troop transport;n04487724
troopship;n04487894
trophy;n04487996
prize;n04487996
trophy case;n04488202
trou-de-loup;n04488295
trough;n04488427
trouser;n04488530
trouser cuff;n04488742
trouser press;n04488857
pants presser;n04488857
trouser;n04489008
pant;n04489008
trousseau;n04489695
trowel;n04489817
truck;n04490091
motortruck;n04490091
truck bed;n04490490
truck farm;n04490614
truck garden;n04490614
truck stop;n04490730
trump;n04490859
trump;n04491135
trump card;n04491135
trumpet arch;n04491312
truncheon;n04491388
nightstick;n04491388
baton;n04491388
billy;n04491388
billystick;n04491388
billy club;n04491388
trundle;n04491545
trundle bed;n04491638
trundle;n04491638
truckle bed;n04491638
truckle;n04491638
trunk;n04491769
trunk hose;n04491934
trunk lid;n04492060
trunk line;n04492157
trunk line;n04492264
trunk route;n04492264
truss;n04492375
truss;n04492585
truss bridge;n04492749
truth serum;n04492856
truth drug;n04492856
try square;n04493109
t-square;n04493259
tub;n04493381
vat;n04493381
tube;n04493505
tubing;n04493505
tube;n04494204
vacuum tube;n04494204
thermionic vacuum tube;n04494204
thermionic tube;n04494204
electron tube;n04494204
thermionic valve;n04494204
tubeless;n04494762
tubeless tire;n04494762
tuck;n04494906
tuck box;n04495051
tucker;n04495183
tucker-bag;n04495310
tuck shop;n04495450
tudor arch;n04495555
four-centered arch;n04495555
tudung;n04495698
tugboat;n04495843
tug;n04495843
towboat;n04495843
tower;n04495843
tuileries;n04496035
tuileries gardens;n04496035
tuileries;n04496173
tuileries palace;n04496173
tuille;n04496404
tulip bed;n04496519
tulle;n04496614
tumble-dryer;n04496726
tumble drier;n04496726
tumbler;n04496872
tumbler;n04497005
tumbrel;n04497249
tumbril;n04497249
tun;n04497442
tunic;n04497570
tuning fork;n04497801
tunnel;n04497962
tupik;n04498275
tupek;n04498275
sealskin tent;n04498275
turban;n04498389
turbine;n04498523
turbogenerator;n04498873
tureen;n04499062
turing machine;n04499180
turkish bath;n04499300
turkish towel;n04499446
terry towel;n04499446
turk's head;n04499554
turnaround;n04499660
turnbuckle;n04499810
turner;n04500060
food turner;n04500060
turnery;n04500294
turnery;n04500390
turning;n04500504
turnip bed;n04500613
turnoff;n04500704
turnout;n04500866
widening;n04500866
turnpike;n04501018
toll road;n04501018
turnpike;n04501127
turnspit;n04501281
turnstile;n04501370
turntable;n04501550
turntable;n04501713
turntable;n04501837
lazy susan;n04501837
turret;n04501947
turret clock;n04502059
turtleneck;n04502197
turtle;n04502197
polo-neck;n04502197
turtleneck collar;n04502364
polo-neck collar;n04502364
tweed;n04502502
tweeter;n04502670
twenty-two;n04502851
.22;n04502851
twenty-two pistol;n04502989
twenty-two rifle;n04503073
twill;n04503155
twill;n04503269
twill weave;n04503269
twin bed;n04503413
twinjet;n04503499
twist bit;n04503593
twist drill;n04503593
two-by-four;n04503705
two-handed saw;n04503836
whipsaw;n04503836
two-man saw;n04503836
lumberman's saw;n04503836
two-man tent;n04504038
two-piece;n04504141
two-piece suit;n04504141
lounge suit;n04504141
two-way street;n04504297
type;n04504486
typesetting machine;n04504770
type slug;n04504935
slug;n04504935
typewriter;n04505036
typewriter carriage;n04505345
typewriter keyboard;n04505470
tyrocidine;n04505706
tyrocidin;n04505706
tyrolean;n04505888
tirolean;n04505888
tyrosine kinase inhibitor;n04506005
tyrothricin;n04506125
uke;n04506289
ukulele;n04506289
ulster;n04506402
ultracentrifuge;n04506506
ultramicroscope;n04506688
dark-field microscope;n04506688
ultrasuede;n04506895
ultraviolet lamp;n04506994
ultraviolet source;n04506994
umbrella;n04507155
umbrella tent;n04507326
undercarriage;n04507453
undercharge;n04507609
undercoat;n04507689
underseal;n04507689
undercut;n04507891
underfelt;n04508062
undergarment;n04508163
unmentionable;n04508163
underpants;n04508489
underpass;n04508804
subway;n04508804
underwear;n04508949
underclothes;n04508949
underclothing;n04508949
undies;n04509171
uneven parallel bars;n04509260
uneven bars;n04509260
unicycle;n04509417
monocycle;n04509417
uniform;n04509592
union;n04509815
union jack;n04509985
union flag;n04509985
united states army criminal investigation laboratory;n04510090
u.s. army criminal investigation laboratory;n04510090
us army criminal investigation laboratory;n04510090
usacil;n04510090
united states mint;n04510456
u.s. mint;n04510456
us mint;n04510456
universal joint;n04510706
universal;n04510706
university;n04511002
university of california at berkeley;n04511832
university of chicago;n04511971
university of michigan;n04512092
university of nebraska;n04512216
university of north carolina;n04512338
university of pennsylvania;n04512476
pennsylvania;n04512476
penn;n04512476
university of pittsburgh;n04512652
university of sussex;n04512783
sussex university;n04512783
university of texas;n04512933
university of vermont;n04513048
university of washington;n04513171
university of west virginia;n04513297
university of wisconsin;n04513432
upcast;n04513556
upgrade;n04513686
upholstery;n04513827
upholstery material;n04513998
upholstery needle;n04514095
uplift;n04514241
upper;n04514359
upper berth;n04514648
upper;n04514648
upper deck;n04514738
upper surface;n04514899
upright;n04515003
upright piano;n04515003
upright;n04515129
vertical;n04515129
upset;n04515444
swage;n04515444
upstage;n04515630
upstairs;n04515729
urceole;n04515890
urinal;n04515991
urn;n04516116
urn;n04516214
used-car;n04516354
secondhand car;n04516354
uss cole;n04516477
utensil;n04516672
utility;n04516874
uzi;n04517211
vacation home;n04517408
vaccine;n04517535
vaccinum;n04517535
vacuum;n04517823
vacuum cleaner;n04517823
vacuum chamber;n04517999
vacuum flask;n04518132
vacuum bottle;n04518132
vacuum gauge;n04518343
vacuum gage;n04518343
valdecoxib;n04518468
bextra;n04518468
valenciennes;n04518643
valenciennes lace;n04518643
valise;n04518764
valproic acid;n04518854
depokene;n04518854
valsartan;n04519019
diovan;n04519019
valve;n04519153
valve;n04519536
valve-in-head engine;n04519728
vambrace;n04519887
lower cannon;n04519887
vamp;n04520020
van;n04520170
van;n04520382
caravan;n04520382
van;n04520480
vancomycin;n04520618
vancocin;n04520618
vane;n04520784
vaporizer;n04520962
vaporiser;n04520962
vapor lock;n04521125
vapour lock;n04521125
vardenafil;n04521428
levitra;n04521428
variable-pitch propeller;n04521571
variation;n04521699
variometer;n04521863
varnish;n04521987
vase;n04522168
vaseline;n04522309
vasoconstrictor;n04522421
vasoconstrictive;n04522421
pressor;n04522421
vasodilator;n04522904
vasodilative;n04522904
vasopressor;n04523201
vatican;n04523380
vatican palace;n04523380
vault;n04523525
vault;n04523690
burial vault;n04523690
vault;n04523831
bank vault;n04523831
vaulting;n04523993
vaulting horse;n04524142
long horse;n04524142
buck;n04524142
vehicle;n04524313
velcro;n04524594
velocipede;n04524716
velodrome;n04524833
velour;n04524941
velours;n04524941
velvet;n04525038
velveteen;n04525191
vending machine;n04525305
veneer;n04525417
veneering;n04525417
venetian blind;n04525584
venetian glass;n04525729
venn diagram;n04525821
venn's diagram;n04525821
venogram;n04526112
phlebogram;n04526112
vent;n04526241
venthole;n04526241
vent-hole;n04526241
blowhole;n04526241
vent;n04526416
ventilation;n04526520
ventilation system;n04526520
ventilating system;n04526520
ventilation shaft;n04526800
ventilator;n04526964
ventriloquist's dummy;n04527182
venturi;n04527310
venturi tube;n04527475
veranda;n04527648
verandah;n04527648
gallery;n04527648
verapamil;n04527808
calan;n04527808
isoptin;n04527808
verdigris;n04528079
verge;n04528256
vermicide;n04528354
vermiculation;n04528490
vermifuge;n04528630
anthelmintic;n04528630
anthelminthic;n04528630
helminthic;n04528630
vernier caliper;n04528968
vernier micrometer;n04528968
vernier scale;n04529108
vernier;n04529108
verrazano-narrows bridge;n04529312
versailles;n04529486
palace of versailles;n04529486
vertical file;n04529681
vertical section;n04529795
vertical stabilizer;n04529962
vertical stabiliser;n04529962
vertical fin;n04529962
tail fin;n04529962
tailfin;n04529962
vertical surface;n04530176
vertical tail;n04530283
very pistol;n04530456
verey pistol;n04530456
vessel;n04530566
watercraft;n04530566
vessel;n04531098
vest;n04531873
waistcoat;n04531873
vestiture;n04532022
vestment;n04532106
vest pocket;n04532398
vestry;n04532504
sacristy;n04532504
viaduct;n04532670
vibraphone;n04532831
vibraharp;n04532831
vibes;n04532831
vibrator;n04533042
vibrator;n04533199
victory garden;n04533373
victrola;n04533499
vicuna;n04533594
videocassette;n04533700
videocassette recorder;n04533802
vcr;n04533802
videodisk;n04533946
videodisc;n04533946
dvd;n04533946
video recording;n04534127
video;n04534127
videotape;n04534359
videotape;n04534520
viewer;n04534651
viewgraph;n04534779
overhead;n04534779
vigil light;n04534895
vigil candle;n04534895
vignette;n04535011
vignette;n04535153
villa;n04535252
villa;n04535370
villa;n04535524
vinblastine;n04535634
velban;n04535634
vincristine;n04535826
oncovin;n04535826
vineyard;n04536038
vinery;n04536038
viol;n04536153
viola;n04536335
viola da braccio;n04536465
viola da gamba;n04536595
gamba;n04536595
bass viol;n04536595
viola d'amore;n04536765
violin;n04536866
fiddle;n04536866
viomycin;n04537235
viocin;n04537235
virginal;n04537436
pair of virginals;n04537436
virility drug;n04537602
anti-impotence drug;n04537602
virtu;n04537816
virtual memory;n04537919
virtual storage;n04537919
viscometer;n04538249
viscosimeter;n04538249
viscose rayon;n04538403
viscose;n04538403
vise;n04538552
bench vise;n04538552
visible speech;n04538759
visor;n04538878
vizor;n04538878
visual display unit;n04539053
vdu;n04539053
vivarium;n04539203
viyella;n04539407
v neck;n04539535
voider;n04539648
gusset;n04539648
voile;n04539794
volatile storage;n04539876
volleyball;n04540053
volleyball court;n04540153
volleyball net;n04540255
voltage regulator;n04540397
voltaic battery;n04540547
galvanic battery;n04540547
voltaic cell;n04540761
galvanic cell;n04540761
primary cell;n04540761
voltaic pile;n04541136
pile;n04541136
galvanic pile;n04541136
voltmeter;n04541320
volumeter;n04541475
vomitory;n04541662
von neumann machine;n04541777
voting booth;n04541987
voting machine;n04542095
vouge;n04542221
voussoir;n04542329
vox angelica;n04542474
voix celeste;n04542474
vox humana;n04542595
waders;n04542715
wading pool;n04542858
waffle iron;n04542943
wagon;n04543158
waggon;n04543158
wagon;n04543509
coaster wagon;n04543509
wagon tire;n04543636
wagon wheel;n04543772
wain;n04543924
wainscot;n04543996
wainscoting;n04543996
wainscotting;n04543996
wainscot;n04544138
dado;n04544138
wainscoting;n04544325
wainscotting;n04544325
waist pack;n04544450
belt bag;n04544450
wake board;n04544626
wakeboard;n04544626
wale;n04544805
strake;n04544805
walk;n04544979
walkway;n04544979
paseo;n04544979
walker;n04545305
baby-walker;n04545305
go-cart;n04545305
walker;n04545471
zimmer;n04545471
zimmer frame;n04545471
walker;n04545748
walkie-talkie;n04545858
walky-talky;n04545858
walk-in;n04545984
walking shoe;n04546081
walking stick;n04546194
walkman;n04546340
walk-up;n04546481
walk-up apartment;n04546595
walk-up;n04546595
walk-through;n04546734
wall;n04546855
wall;n04547592
wall;n04547821
wallboard;n04547991
drywall;n04547991
dry wall;n04547991
wall clock;n04548280
wallet;n04548362
billfold;n04548362
notecase;n04548362
pocketbook;n04548362
wall panel;n04548503
wall plate;n04548613
wall socket;n04548771
wall plug;n04548771
electric outlet;n04548771
electrical outlet;n04548771
outlet;n04548771
electric receptacle;n04548771
wall tent;n04549028
wall unit;n04549122
walt whitman bridge;n04549276
wampum;n04549407
peag;n04549407
wampumpeag;n04549407
wand;n04549629
wankel engine;n04549721
wankel rotary engine;n04549721
epitrochoidal engine;n04549721
ward;n04549919
hospital ward;n04549919
wardrobe;n04550184
closet;n04550184
press;n04550184
wardrobe;n04550426
wardrobe;n04550546
wardroom;n04550676
ware;n04550840
warehouse;n04551055
storage warehouse;n04551055
warfarin;n04551205
coumadin;n04551205
warhead;n04551375
payload;n04551375
load;n04551375
warhorse;n04551638
warming pan;n04551833
warp;n04551950
war paint;n04552097
war paint;n04552195
warplane;n04552348
military plane;n04552348
war room;n04552551
warship;n04552696
war vessel;n04552696
combat ship;n04552696
wash;n04553245
wash drawing;n04553245
wash;n04553389
wash-and-wear;n04553561
washbasin;n04553703
handbasin;n04553703
washbowl;n04553703
lavabo;n04553703
wash-hand basin;n04553703
